title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Senior IT Engineer (IT Infrastructure),Infra & System,"Myanmar Payment Union Public Co.,Ltd",Yangon,MM,,Negotiable,,,,,Senior,2025-05-16,https://www.jobnet.com.mm/job/senior-it-engineer-it-infrastructure-myanmar-payment-union-public-co-ltd/114379,jobnetmm
"Senior IT Engineer (Switch, Ecommerce)",Other,"Myanmar Payment Union Public Co.,Ltd",Yangon,MM,,Negotiable,,,,,Senior,2025-05-16,https://www.jobnet.com.mm/job/senior-it-engineer-switch-ecommerce-myanmar-payment-union-public-co-ltd/114377,jobnetmm
Computer Color Machine Maintenance,Other,"Nippon Paint (Myanmar) Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-16,https://www.jobnet.com.mm/job/computer-color-machine-maintenance-nippon-paint-myanmar-co-ltd/113755,jobnetmm
Software Developer,Software/Web Development,Talent Experts,Yangon,MM,,Negotiable,,,,,,2025-05-16,https://www.jobnet.com.mm/job/software-developer-talent-experts/114355,jobnetmm
Senior Developer (Software Developer),Software/Web Development,Systematic Business Solution,Yangon,MM,,Negotiable,,,,,Senior,2025-05-16,https://www.jobnet.com.mm/job/senior-developer-systematic-business-solution/114009,jobnetmm
Software Project Manager (IT Project Manager),Project & Product Management,Innovix Solutions,Yangon,MM,,Negotiable,,,,,Manager,2025-05-16,https://www.jobnet.com.mm/job/software-project-manager-innovix-solutions/114340,jobnetmm
Senior (Software/System) Business Analyst (Business Analyst),Data & Analytics,Innovix Solutions,Yangon,MM,,Negotiable,,,,,Senior,2025-05-16,https://www.jobnet.com.mm/job/senior-software-system-business-analyst-innovix-solutions/114339,jobnetmm
Manager (IT - Core & Digital Banking) (IT Support),Infra & System,CHID Bank,Yangon,MM,,Negotiable,,,,,Manager,2025-05-16,https://www.jobnet.com.mm/job/manager-it-core-and-digital-banking-chid-bank/114338,jobnetmm
Senior Data Scientist (Business Analyst),Data & Analytics,UTW (Myanmar) Limited,Yangon,MM,,Negotiable,,,,,Senior,2025-05-15,https://www.jobnet.com.mm/job/senior-data-scientist-utw-myanmar-limited/113779,jobnetmm
IT Specialist (IT Support),Infra & System,"Myat Myittar Mon Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-15,https://www.jobnet.com.mm/job/it-specialist-myat-myittar-mon-co-ltd/114299,jobnetmm
Senior IT Officer (MFI) (IT Support),Infra & System,Capital Diamond Star Group (CDSG),Yangon,MM,,Negotiable,,,,,Senior,2025-05-14,https://www.jobnet.com.mm/job/senior-it-officer-mfi-capital-diamond-star-group-cdsg/114257,jobnetmm
ERP SAP O & M Support (A1 - FI) (Business Analyst),SAP / ERP,MPT - Myanma Posts & Telecommunications,Yangon,MM,,Negotiable,,,,,,2025-05-14,https://www.jobnet.com.mm/job/erp-sap-o-and-m-support-a1-fi-mpt-myanma-posts-and-telecommunications/114255,jobnetmm
Assistant IT Manager (IT Project Manager),Project & Product Management,YKKO,Yangon,MM,,Negotiable,,,,,Manager,2025-05-14,https://www.jobnet.com.mm/job/assistant-it-manager-ykko/114248,jobnetmm
Site Reliability Engineer (L1),Other,Wave Money,Yangon,MM,,Negotiable,,,,,,2025-05-13,https://www.jobnet.com.mm/job/site-reliability-engineer-l1-wave-money/114242,jobnetmm
IT Supervior (MD Office) (IT Support),Infra & System,"Focus Star Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-13,https://www.jobnet.com.mm/job/it-supervior-md-office-focus-star-co-ltd/113464,jobnetmm
Information Security Engineer,Cybersecurity,POSCO Int'l Corporation(Myanmar E&P Office),Yangon,MM,,Negotiable,,,,,,2025-05-13,https://www.jobnet.com.mm/job/information-security-engineer-posco-intl-corporationmyanmar-eandp-office/114203,jobnetmm
Associate/ Junior Product Owner (Business Analyst),Project & Product Management,Capital Diamond Star Group (CDSG),Yangon,MM,,Negotiable,,,,,Junior,2025-05-13,https://www.jobnet.com.mm/job/associate-junior-product-owner-capital-diamond-star-group-cdsg/114197,jobnetmm
IT Network Officer (Network Engineer ),Network,Win Brothers Group of Companies Limited,Yangon,MM,,Negotiable,,,,,,2025-05-12,https://www.jobnet.com.mm/job/it-network-officer-win-brothers-group-of-companies-limited/114144,jobnetmm
Business Development Executive (IT Support),Infra & System,Talent Experts,Yangon,MM,,Negotiable,,,,,,2025-05-12,https://www.jobnet.com.mm/job/business-development-executive-talent-experts/114128,jobnetmm
IT Technician (IT Project Manager),Project & Product Management,PUMA POWER INTERNATIONAL COMPANY LIMITED,Mon State,MM,,500000,500000,Ks,,,Manager,2025-05-11,https://www.jobnet.com.mm/job/it-technician-puma-power-international-company-limited/114126,jobnetmm
Junior UAT Tester (Software Tester),Quality Assurance & Testing,KBZ Bank,Yangon,MM,,Negotiable,,,,,Junior,2025-05-09,https://www.jobnet.com.mm/job/junior-uat-tester-kbz-bank/114099,jobnetmm
Product Manager (Fintech),Project & Product Management,"NearMe Co.,Ltd",Yangon,MM,,Negotiable,,,,,Manager,2025-05-09,https://www.jobnet.com.mm/job/product-manager-fintech-nearme-co-ltd/108125,jobnetmm
Flutter Developer (Software Developer),Software/Web Development,Myanmar Information Technology Pte. Ltd. (MIT),Yangon,MM,,Negotiable,,,,,,2025-05-09,https://www.jobnet.com.mm/job/flutter-developer-myanmar-information-technology-pte-ltd-mit/114075,jobnetmm
