title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
AI ML Engineer,AI / Data science,Total eBiz Solutions Pte Ltd,Singapore,SG,84000,102000,93000,SGD,,,,2025-05-27,https://www.foundit.sg/job/ai-ml-engineer-total-ebiz-solutions-pte-ltd-singapore-34934228,founditsg
Network Engineer,Network,Linktrix Consultants Pte Ltd,High Street,SG,36000,54000,45000,SGD,,,,2025-05-27,https://www.foundit.sg/job/network-engineer-linktrix-consultants-pte-ltd-high-street-33627102,founditsg
Senior Product Manager (Finance / Game Focus),Project & Product Management,Deepsky Tech Pte. Ltd,Singapore,SG,90000,108000,99000,SGD,,,,2025-05-27,https://www.foundit.sg/job/senior-product-manager-finance-game-focus-deepsky-tech-pte-ltd-singapore-33717500,founditsg
Job Title: Senior Backend (Java) Developer,Software/Web development,Deepsky Tech Pte. Ltd,Singapore,SG,60000,108000,84000,SGD,,,,2025-05-27,https://www.foundit.sg/job/job-title-senior-backend-java-developer-deepsky-tech-pte-ltd-singapore-33717519,founditsg
IOT Field Service Technician,Other,Rapsys Technologies Pte Ltd,Singapore,SG,72000,90000,81000,SGD,,,,2025-05-27,https://www.foundit.sg/job/iot-field-service-technician-rapsys-technologies-pte-ltd-singapore-33710465,founditsg
Tagetik Developer,Software/Web development,R Systems Singapore Pte Ltd,"Bukit Merah, Jalan Bukit Merah",SG,108000,132000,120000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/tagetik-developer-r-systems-singapore-pte-ltd-bukit-merah-jalan-bukit-merah-33521500,founditsg
Delivery Manager,Other,Total eBiz Solutions Pte Ltd,Singapore,SG,96000,114000,105000,SGD,,,,2025-05-27,https://www.foundit.sg/job/delivery-manager-total-ebiz-solutions-pte-ltd-singapore-33668023,founditsg
Project Administrator,Infra & System,Pan-Asia Resources Pte Ltd,Singapore,SG,36000,43200,39600,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/project-administrator-pan-asia-resources-pte-ltd-singapore-33738858,founditsg
ServiceNow Consultant,It consulting & Solutions,Avensys Consulting Pte Ltd,"Singapore, Ubi",SG,96000,120000,108000,SGD,,,,2025-05-27,https://www.foundit.sg/job/servicenow-consultant-avensys-consulting-pte-ltd-singapore-ubi-33882280,founditsg
Cybersecurity Engineer (GRC),Cybersecurity,Zenith Infotech (S) Pte Ltd,Singapore,SG,72000,96000,84000,SGD,,,,2025-05-27,https://www.foundit.sg/job/cybersecurity-engineer-grc-zenith-infotech-s-pte-ltd-singapore-33772790,founditsg
Field Support Engineer,Technical Support,Avensys Consulting Pte Ltd,"Singapore, Ubi",SG,24000,38400,31200,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/field-support-engineer-avensys-consulting-pte-ltd-singapore-ubi-33882270,founditsg
Pega Agile Engineer - Contract - 12 / 24 months,Software/Web Development,Zenith Infotech (S) Pte Ltd,Singapore,SG,36000,72000,54000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/pega-agile-engineer-contract-12-24-months-zenith-infotech-s-pte-ltd-singapore-33772826,founditsg
Ad Operations Analyst,Data & Analytics,Salt Talent Search Pte Ltd,Robinson,SG,54000,67200,60600,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/ad-operations-analyst-salt-talent-search-pte-ltd-robinson-33521492,founditsg
Full Stack Developer,Software/Web development,Infinite Computer Solutions Pte Ltd,"Singapore, Shenton Way",SG,96000,120000,108000,SGD,,,,2025-05-27,https://www.foundit.sg/job/full-stack-developer-infinite-computer-solutions-pte-ltd-singapore-shenton-way-33744632,founditsg
Principal Product Consultant (Triple A+ and Temenos),It consulting & Solutions,Ploy Asia Pte. Ltd,Singapore,SG,48000,60000,54000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/principal-product-consultant-triple-a-and-temenos-ploy-asia-pte-ltd-singapore-33738848,founditsg
Field Technician / Driver,Other,Salt Talent Search Pte Ltd,Robinson,SG,30000,36000,33000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/field-technician-driver-salt-talent-search-pte-ltd-robinson-33521494,founditsg
Junior LINUX / UNIX - System Engineer,UI/UX,Rapsys Technologies Pte Ltd,"Liang Seah Street, Singapore",SG,48000,54000,51000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/junior-linux-unix-system-engineer-rapsys-technologies-pte-ltd-liang-seah-street-singapore-33710493,founditsg
IT Sales Executive,Other,Nanyang Inc Pte Ltd,Geylang,SG,36000,54000,45000,SGD,,,,2025-05-27,https://www.foundit.sg/job/it-sales-executive-nanyang-inc-pte-ltd-geylang-33662286,founditsg
