title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source,avg_salary,min_salary,max_salary,currency,cleaned_title,level,category
Application Support Engineer,Triple Dot Consulting,Bangkok,"฿35,000 – ฿50,000 per month",Full time,Hybrid,2025-05-26,https://th.jobsdb.com/job/84475524,TH,jobsdbth,42500,35000,50000,THB,application support engineer,,Software/Web Development
Power BI Analyst,Siam City Cement,"Khlong Toei, Bangkok",,Full time,On-site,2025-05-09,https://th.jobsdb.com/job/84125497,TH,jobsdbth,,,,,power bi analyst,,Data & Analytics
เจ้าหน้าที่จัดทำข้อมูล (MIS)/เจ้าหน้าที่จัดทำข้อมูล (MIS),Bangkok Bank,"Bang Rak, Bangkok",,Full time,On-site,2025-05-26,https://th.jobsdb.com/job/84481339,TH,jobsdbth,,,,,เจาหนาทจดทำขอมล mis/เจาหนาทจดทำขอมล mis,,Other
Data Analyst (m/f/x),Lorenz & Partners,Bangkok,,Full time,On-site,2025-05-14,https://th.jobsdb.com/job/84222231,TH,jobsdbth,,,,,data analyst m/f/x,,Data & Analytics
QA & Support,Central Retail Corporation,"Bang Rak, Bangkok",,Full time,On-site,2025-05-26,https://th.jobsdb.com/job/84471389,TH,jobsdbth,,,,,qa support,,Quality Assurance & Testing
Assistant Technology Project Management Manager,ACIS Professional Center,"Pathum Wan, Bangkok","฿60,000 – ฿80,000 per month",Full time,Hybrid,2025-05-26,https://th.jobsdb.com/job/84478957,TH,jobsdbth,70000,60000,80000,THB,assistant technology project management manager,Manager,Project & Product Management
IT Vendor Management Leader (Manager Level),Krungsri Bank,"Yan Nawa, Bangkok",,Full time,Hybrid,2025-05-26,https://th.jobsdb.com/job/84484459,TH,jobsdbth,,,,,it vendor management leader manager level,Manager,Other
IT System Support,Thaicom,"Chatuchak, Bangkok",,Full time,On-site,2025-05-16,https://th.jobsdb.com/job/84281940,TH,jobsdbth,,,,,it system support,,Infra & System
Administrative and IT Support,BBL Asset Management,Bangkok,,Full time,On-site,2025-05-23,https://th.jobsdb.com/job/84427756,TH,jobsdbth,,,,,administrative it support,,Infra & System
"Senior Developer (Full-Stack, Front-end, Back-end)",Private Advertiser,"Pathum Wan, Bangkok","฿80,000 – ฿100,000 per month",Full time,On-site,2025-05-26,https://th.jobsdb.com/job/84478643,TH,jobsdbth,90000,80000,100000,THB,senior developer full-stack front-end back-end,Senior,Software/Web Development
