title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Database Administrator,,Pro 1 Home Center,Yangon,MM,,,,,,,,2025-04-24,https://www.jobnet.com.mm/job/database-administrator-pro-1-home-center/113360,jobnetmm
Requirement Analysis Manager(Software Application),,KBZ Bank,Yangon,MM,,,,,,,,2025-04-23,https://www.jobnet.com.mm/job/requirement-analysis-managersoftware-application-kbz-bank/113326,jobnetmm
IT Security Assistant Manager,,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,MM,,,,,,,,2025-04-23,https://www.jobnet.com.mm/job/it-security-assistant-manager-dai-ichi-life-insurance-myanmar-ltd/113303,jobnetmm
.Net Developer/ System Analyst,,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,MM,,,,,,,,2025-04-23,https://www.jobnet.com.mm/job/net-developer-system-analyst-dai-ichi-life-insurance-myanmar-ltd/113301,jobnetmm
Product Owner,,Capital Diamond Star Group (CDSG),Yangon,MM,,,,,,,,2025-04-23,https://www.jobnet.com.mm/job/product-owner-capital-diamond-star-group-cdsg/113298,jobnetmm
Project Manager,,"Zettatech Co., Ltd.",Yangon,MM,,,,,,,,2025-04-23,https://www.jobnet.com.mm/job/project-manager-zettatech-co-ltd/113296,jobnetmm
"Assistant Manager, Application Architect",,AIA Myanmar,Yangon,MM,,,,,,,,2025-04-23,https://www.jobnet.com.mm/job/assistant-manager-application-architect-aia-myanmar/109463,jobnetmm
Junior System Engineer,,"Zettatech Co., Ltd.",Yangon,MM,,,,,,,,2025-04-23,https://www.jobnet.com.mm/job/junior-system-engineer-zettatech-co-ltd/113291,jobnetmm
BI Report Development Senior Specialist,,Ooredoo Myanmar,Yangon,MM,,,,,,,,2025-04-23,https://www.jobnet.com.mm/job/bi-report-development-senior-specialist-ooredoo-myanmar/113289,jobnetmm
Lead Flutter Mobile App Developer,,"Source Code Co.,Ltd",Yangon,MM,,,,,,,,2025-04-22,https://www.jobnet.com.mm/job/lead-flutter-mobile-app-developer-source-code-co-ltd/113272,jobnetmm
"Assistant Manager, Data Analytics",,AIA Myanmar,Yangon,MM,,,,,,,,2025-04-22,https://www.jobnet.com.mm/job/assistant-manager-data-analytics-aia-myanmar/111172,jobnetmm
System Administrator,,CoreBridge Company Limited,Yangon,MM,,,,,,,,2025-04-22,https://www.jobnet.com.mm/job/system-administrator-corebridge-company-limited/113233,jobnetmm
Web Developer,,Myanmar Information Technology Pte. Ltd. (MIT),Yangon,MM,,,,,,,,2025-04-22,https://www.jobnet.com.mm/job/web-developer-myanmar-information-technology-pte-ltd-mit/113231,jobnetmm
UI UX Designer,,Phluid Worldwide,Yangon,MM,,,,,,,,2025-04-15,https://www.jobnet.com.mm/job/ui-ux-designer-phluid-worldwide/113198,jobnetmm
Software Developer,,"Global Technology Co.,Ltd (GlobalNet)",Yangon,MM,,,,,,,,2025-04-14,https://www.jobnet.com.mm/job/software-developer-global-technology-co-ltd-globalnet/113191,jobnetmm
Quality Assurance Tester,,CoreBridge Company Limited,Yangon,MM,,,,,,,,2025-04-11,https://www.jobnet.com.mm/job/quality-assurance-tester-corebridge-company-limited/108972,jobnetmm
Associate System Engineer,,CB Bank,Yangon,MM,,,,,,,,2025-04-11,https://www.jobnet.com.mm/job/associate-system-engineer-cb-bank/113176,jobnetmm
Project Manager (Software Development),,Nexcode Company,Yangon,MM,,,,,,,,2025-04-11,https://www.jobnet.com.mm/job/project-manager-software-development-nexcode-company/113169,jobnetmm
IT Procurement Contract Manager,,KBZ Bank,Yangon,MM,,,,,,,,2025-04-10,https://www.jobnet.com.mm/job/it-procurement-contract-manager-kbz-bank/113141,jobnetmm
NOC Engineer (L1 Support),,Ooredoo Myanmar,Yangon,MM,,,,,,,,2025-04-10,https://www.jobnet.com.mm/job/noc-engineer-l1-support-ooredoo-myanmar/111842,jobnetmm
UCC Engineer (L1 Support),,Ooredoo Myanmar,Yangon,MM,,,,,,,,2025-04-10,https://www.jobnet.com.mm/job/ucc-engineer-l1-support-ooredoo-myanmar/111440,jobnetmm
ICT Operations Senior Engineer,,Ooredoo Myanmar,Yangon,MM,,,,,,,,2025-04-10,https://www.jobnet.com.mm/job/ict-operations-senior-engineer-ooredoo-myanmar/109699,jobnetmm
Office IT Engineer,,Myint Thukha Nadi A Group of Companies,Yangon,MM,,,,,,,,2025-04-09,https://www.jobnet.com.mm/job/office-it-engineer-myint-thukha-nadi-a-group-of-companies/113114,jobnetmm
Application Support Engineer (JN0325YGN),,GRAND GUARDIAN NIPPON LIFE INSURANCE,Yangon,MM,,,,,,,,2025-04-09,https://www.jobnet.com.mm/job/application-support-engineer-jn0325ygn-grand-guardian-nippon-life-insurance/112222,jobnetmm
In-House Software & Report Development Manager,,SATHAPANA Limited Myanmar,Yangon,MM,,,,,,,,2025-04-09,https://www.jobnet.com.mm/job/in-house-software-and-report-development-manager-sathapana-limited-myanmar/112624,jobnetmm
Database Administrator,,Early Dawn Microfinance,Yangon,MM,,,,,,,,2025-04-09,https://www.jobnet.com.mm/job/database-administrator-early-dawn-microfinance/113084,jobnetmm
IT & Infra Assistant,,Early Dawn Microfinance,Yangon,MM,,,,,,,,2025-04-09,https://www.jobnet.com.mm/job/it-and-infra-assistant-early-dawn-microfinance/110590,jobnetmm
Desktop Support Engineer,,CoreBridge Company Limited,Yangon,MM,,,,,,,,2025-04-08,https://www.jobnet.com.mm/job/desktop-support-engineer-corebridge-company-limited/113073,jobnetmm
Oracle Database Administrator,,CoreBridge Company Limited,Yangon,MM,,,,,,,,2025-04-08,https://www.jobnet.com.mm/job/oracle-database-administrator-corebridge-company-limited/113062,jobnetmm
Database Administrator,,Systematic Business Solution,Yangon,MM,,,,,,,,2025-04-08,https://www.jobnet.com.mm/job/database-administrator-systematic-business-solution/111136,jobnetmm
Senior Developer,,Systematic Business Solution,Yangon,MM,,,,,,,,2025-04-08,https://www.jobnet.com.mm/job/senior-developer-systematic-business-solution/111135,jobnetmm
NOC Engineer,,KBZ Bank,Yangon,MM,,,,,,,,2025-04-08,https://www.jobnet.com.mm/job/noc-engineer-kbz-bank/101552,jobnetmm
Frontend Engineer (React),,"PLUS IMPACT Co.,Ltd",Yangon,MM,,,,,,,,2025-04-08,https://www.jobnet.com.mm/job/frontend-engineer-react-plus-impact-co-ltd/113054,jobnetmm
ATM Security Officer (JN0325YGN),,KBZ Bank,Yangon,MM,,,,,,,,2025-04-08,https://www.jobnet.com.mm/job/atm-security-officer-jn0325ygn-kbz-bank/112425,jobnetmm
Full-Stack Developer,,Myanmar Technology Gateway,Yangon,MM,,,,,,,,2025-04-07,https://www.jobnet.com.mm/job/full-stack-developer-myanmar-technology-gateway/113039,jobnetmm
