title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
Senior Web Developer ( Java ) (Software Developer),Capital Taiyo Life Insurance,Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/senior-web-developer-java-capital-taiyo-life-insurance/113040,MM,jobnetmm
Cyber Security Senior Manager (Network Engineer ),Myanmar Citizens Bank (MCB),Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/cyber-security-senior-manager-myanmar-citizens-bank-mcb/113441,MM,jobnetmm
Junior EUS Engineer (IT Support),Myanmar Citizens Bank (MCB),Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/junior-eus-engineer-myanmar-citizens-bank-mcb/113438,MM,jobnetmm
ATM Support Engineer (IT Support),Myanmar Citizens Bank (MCB),Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/atm-support-engineer-myanmar-citizens-bank-mcb/113437,MM,jobnetmm
NOC Manager (Network Engineer ),Myanmar Citizens Bank (MCB),Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/noc-manager-myanmar-citizens-bank-mcb/113433,MM,jobnetmm
Senior Network Engineer (Network Engineer ),Myanmar Citizens Bank (MCB),Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/senior-network-engineer-myanmar-citizens-bank-mcb/113431,MM,jobnetmm
Senior System Engineer (Network Engineer ),Myanmar Citizens Bank (MCB),Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/senior-system-engineer-myanmar-citizens-bank-mcb/113428,MM,jobnetmm
Network & System Engineer (Network Engineer ),Myanmar Metro Bank,Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/network-and-system-engineer-myanmar-metro-bank/113425,MM,jobnetmm
Solution Architect,Talent Experts,Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/solution-architect-talent-experts/112960,MM,jobnetmm
Network Administrator (Network Engineer ),CoreBridge Company Limited,Yangon,"Up to 700,000 Ks",,,25 Apr 2025,https://www.jobnet.com.mm/job/network-administrator-corebridge-company-limited/113421,MM,jobnetmm
"Sr. Mgr/Manager, Business Solutions & Partnership",ATOM,Yangon,Negotiable,,,25 Apr 2025,https://www.jobnet.com.mm/job/sr-mgr-manager-business-solutions-and-partnership-atom/113416,MM,jobnetmm
Application Consultant (IT Support),Myanmar Information Technology Pte. Ltd. (MIT),Yangon,Negotiable,,,24 Apr 2025,https://www.jobnet.com.mm/job/application-consultant-myanmar-information-technology-pte-ltd-mit/113390,MM,jobnetmm
Junior Testing Engineer (IT Support),Myanmar Information Technology Pte. Ltd. (MIT),Yangon,Negotiable,,,24 Apr 2025,https://www.jobnet.com.mm/job/junior-testing-engineer-myanmar-information-technology-pte-ltd-mit/113389,MM,jobnetmm
