title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
IT Business Analyst (Front-End Solutions),Data & Analytics,Thai Group Holdings,"Bang Rak, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-27,https://th.jobsdb.com/job/84513146,jobsdbth
Product Manager,Project & Product Management,NocNoc,"Bang Sue, Bangkok",TH,,,,,Full time,Hybrid,Manager,2025-05-22,https://th.jobsdb.com/job/84400344,jobsdbth
Business Consultant (Software Project Implementation),IT Consulting & Solutions,Triple Dot Consulting,"Huai Khwang, Bangkok",TH,47500,70000,58750,THB,Full time,Hybrid,,2025-05-23,https://th.jobsdb.com/job/84440131,jobsdbth
IT Support (Software),Software/Web Development,ThaiTizens,"Suan Luang, Bangkok",TH,,,,,Full time,On-site,,2025-05-23,https://th.jobsdb.com/job/83799930,jobsdbth
Business Intelligence (BI) Analyst for SleepHappy,Data & Analytics,Sleepwell Group,"Khlong Toei, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-26,https://th.jobsdb.com/job/84485915,jobsdbth
Products Data Control Staff,Data & Analytics,Mitsubishi Electric,Chon Buri,TH,,,,,Full time,On-site,,2025-05-05,https://th.jobsdb.com/job/83989418,jobsdbth
"Project Management, SCB New Core Banking",Project & Product Management,Siam Commercial Bank,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-15,https://th.jobsdb.com/job/84244569,jobsdbth
IT Project Management,Project & Product Management,Kiatnakin Phatra Financial Group,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-22,https://th.jobsdb.com/job/84395477,jobsdbth
IT Support/ผู้สับสนุนด้านไอที,Infra & System,Glohow,"Phra Khanong, Bangkok",TH,,,,,Full time,On-site,,2025-05-21,https://th.jobsdb.com/job/84382293,jobsdbth
"Full Stack Developer (Innovation) : TypeScript, Node.js",Software/Web Development,Bangkok Bank,"Bang Rak, Bangkok",TH,,,,,Full time,On-site,,2025-05-08,https://th.jobsdb.com/job/84091116,jobsdbth
IT Specialist / IT Manager,Other,Sony Device Technology,"Mueang Pathum Thani, Pathum Thani",TH,,,,,Full time,Hybrid,Manager,2025-04-30,https://th.jobsdb.com/job/83903872,jobsdbth
ICT Support Executive (English Resume Only),Other,AirAsia,"Don Mueang, Bangkok",TH,,,,,Full time,On-site,,2025-05-13,https://th.jobsdb.com/job/84179049,jobsdbth
Project Management Executive,Project & Product Management,Ascend Group,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-20,https://th.jobsdb.com/job/84340981,jobsdbth
IT Support Engineer (Thai National),Infra & System,Skywave Technologies,"Phra Khanong, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-21,https://th.jobsdb.com/job/83687337,jobsdbth
IT Business Analyst,Data & Analytics,CardX,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-14,https://th.jobsdb.com/job/84203408,jobsdbth
Application Support Engineer,Software/Web Development,Triple Dot Consulting,Bangkok,TH,35000,50000,42500,THB,Full time,Hybrid,,2025-05-26,https://th.jobsdb.com/job/84475524,jobsdbth
Product Owner,Project & Product Management,CIMB Thai Bank,"Pathum Wan, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-23,https://th.jobsdb.com/job/84441064,jobsdbth
Cybersecurity Engineer,Cybersecurity,Toyota,Samut Prakan,TH,,,,,Full time,Hybrid,,2025-05-07,https://th.jobsdb.com/job/84049014,jobsdbth
Software Developer,Software/Web Development,Yuanta Securities,"Pathum Wan, Bangkok",TH,,,,,Full time,On-site,,2025-05-07,https://th.jobsdb.com/job/84053406,jobsdbth
"MIS Officer (Data Analyst), Collections Department (Bangna Towers Office)",Data & Analytics,Krungsri Bank,"Bang Na, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-16,https://th.jobsdb.com/job/84266422,jobsdbth
Product Manager - SCB Easy Channel,Project & Product Management,Siam Commercial Bank,Bangkok,TH,,,,,Full time,Hybrid,Manager,2025-05-22,https://th.jobsdb.com/job/84059598,jobsdbth
Software Engineer,Software/Web Development,MFEC,"Chatuchak, Bangkok",TH,30000,40000,35000,THB,Full time,On-site,,2025-05-06,https://th.jobsdb.com/job/84034014,jobsdbth
Product Owner / Business Analyst (Marketing Technology Platform/AI),Project & Product Management,M intelligence,"Khlong Toei, Bangkok",TH,40000,60000,50000,THB,Full time,Hybrid,,2025-05-27,https://th.jobsdb.com/job/84496866,jobsdbth
Data Analytics Specialist,Data & Analytics,Advanced Info Service,Nonthaburi,TH,,,,,Full time,On-site,,2025-05-21,https://th.jobsdb.com/job/84366167,jobsdbth
IT Department Manager,Other,Pranda Jewelry,Bangkok Metropolitan Region,TH,,,,,Full time,On-site,Manager,2025-05-23,https://th.jobsdb.com/job/84426698,jobsdbth
Tech Lead -  Software Engineer,Software/Web Development,Lotus's,"Bueng Kum, Bangkok",TH,,,,,Full time,On-site,Manager,2025-05-27,https://th.jobsdb.com/job/81729471,jobsdbth
ITO Project Manager,Project & Product Management,Morgan McKinley,Bangkok,TH,,,,,Full time,On-site,Manager,2025-05-27,https://th.jobsdb.com/job/84494270,jobsdbth
IT Director,Other,PlayPark,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-23,https://th.jobsdb.com/job/84426911,jobsdbth
Product Domain / Tech Product Owner / Business Analyst,Project & Product Management,ThaiBev,"Chatuchak, Bangkok",TH,,,,,Full time,On-site,,2025-05-15,https://th.jobsdb.com/job/84242271,jobsdbth
Full Stack Software Developer (Junior-Senior),Software/Web Development,Primo World,"Bang Rak, Bangkok",TH,,,,,Full time,Hybrid,Junior,2025-05-15,https://th.jobsdb.com/job/84243775,jobsdbth
Data Analyst Supervisor,Data & Analytics,PPP Green Complex Public Company Limited,"Huai Khwang, Bangkok",TH,40000,50000,45000,THB,Full time,On-site,,2025-05-13,https://th.jobsdb.com/job/84178436,jobsdbth
IT Project Manager (AEC Project),Project & Product Management,Krungsri Bank,"Yan Nawa, Bangkok",TH,,,,,Full time,Hybrid,Manager,2025-05-26,https://th.jobsdb.com/job/84470794,jobsdbth
Senior Application Support/IT Support,Infra & System,TD Tawandang,Bangkok,TH,,,,,Full time,On-site,Senior,2025-05-27,https://th.jobsdb.com/job/84509079,jobsdbth
